id,name,classification,estimatedPrice,rank,maxStack,stackable,effects_health,effects_bleed,effects_radiation,effects_hunger,effects_thirst,notes,image,source_status,source_file,source_note
mk-stamped-steel-mag,MK Stamped Steel Mag,vendor-item,1250,2,,,,,,,,,,screenshot-verified,evidence-inbox/attachments/magazines/mk-stamped-steel-mag__tooltip__2026-09-17_200406.png,Direct in-game attachment tooltip screenshot.
mk-steel-polymer-mag-brown,MK Steel-Polymer Mag (Brown),vendor-item,,,,,,,,,,,,,,
mk-triangle-stock,MK Triangle Stock,vendor-item,,,,,,,,,,,,,,
mk-underfolding-stock,MK Underfolding Stock,vendor-item,,,,,,,,,,,,,,
mk-upgraded-muzzle-brake,MK Upgraded Muzzle Brake,vendor-item,,,,,,,,,,,,,,
mk-vert-grip-handguard,MK Vert Grip Handguard,vendor-item,,,,,,,,,,,,,,
mk-wood-handguard,MK Wood Handguard,vendor-item,,,,,,,,,,,,,,
moonshine,Moonshine,crafted-item;vendor-item,,,,,,,,,,,,screenshot-verified,evidence-inbox/crafting/medical/moonshine__recipe__2026-09-18_205043.png,Verification synchronized from canonical database record
morphine,Morphine,crafting-resource;crafted-item;vendor-item,,,,,12,,,3,3,,evidence-inbox/items/historical/morphine__tooltip__2026-09-13_142950.png,pending-review,evidence-inbox/crafting/medical/morphine__recipe__2026-09-18_205050.png,Verification synchronized from canonical database record
mutant-steak,Mutant Steak,vendor-item,,,,,,,,,,,,,,
mystery-pills,Mystery Pills,vendor-item,6000,,5,,15,,-30,,5,,,screenshot-verified,evidence-inbox/items/mystery-pills__tooltip__2026-09-20_083137.png,Direct in-game tooltip screenshot; newest verified evidence supersedes the preserved 13 September screenshot.
old-blue-trousers,Old Blue Trousers,armour,,,,,,,,,,,,,,
old-gp-4-gas-mask,Old GP-4 Gas Mask,armour,,,,,,,,,,,evidence-inbox/armour/old-gp-4-gas-mask__stats__2026-09-13_230420.png,user-provided,evidence-inbox/armour/old-gp-4-gas-mask__stats__2026-09-13_230420.png,
old-kepka,Old Kepka,armour,,,,,,,,,,,,,,
old-tactical-vest,Old Tactical Vest,armour,75000,,,,,,,,,,evidence-inbox/armour/old-tactical-vest__stats-100-durability__2026-09-20.png,screenshot-verified,evidence-inbox/armour/old-tactical-vest__stats-100-durability__2026-09-20.png,Direct in-game tooltip at 100% durability. Displayed approximate value recorded as price; vendor sale price and unlock rank are not shown.
overripe-potato,Overripe Potato,vendor-item,,,,,,,,,,,,,,
panskiy-kask,Panskiy Kask,armour,15000,,,,,,,,,,evidence-inbox/armour/panskiy-kask__stats-100-durability__2026-09-20.png,screenshot-verified,evidence-inbox/armour/panskiy-kask__stats-100-durability__2026-09-20.png,Verification synchronized from canonical Armour record
parade-helmet,Parade Helmet,armour,,,,,,,,,,,,,,
patched-armored-blouse,Patched Armored Blouse,armour,,,,,,,,,,,,,,
pills,Pills,vendor-item,2500,,,,,,-25,,5,,,screenshot-verified,evidence-inbox/items/historical/pills__tooltip__2026-09-13_141150.png,"Direct in-game tooltip screenshot; older preserved evidence, no newer conflicting screenshot currently archived."
pistol-ap-ammo,Pistol AP Ammo,ammunition;vendor-item,100,,,,,,,,,,,screenshot-verified,evidence-inbox/ammo/pistol-ap__stats__2026-09-13_141636.png,Verification synchronized from canonical database record
pistol-fmj-ammo,Pistol FMJ Ammo,ammunition;vendor-item,30,1,,,,,,,,,,screenshot-verified,evidence-inbox/ammo/pistol-fmj-ammo__stats__2026-09-18_084728.png,Verification synchronized from canonical database record
plastic-scrap,Plastic Scrap,crafting-resource;vendor-item,100,1,40,,,,,,,,,screenshot-verified,evidence-inbox/items/plastic-scrap__tooltip__2026-09-18_091720.png,
plated-overcoat,Plated Overcoat,armour;vendor-item,,,,,,,,,,,,,,
plated-ragged-pants,Plated Ragged Pants,armour;vendor-item,,,,,,,,,,,,,,
plier,Plier,vendor-item,2000,1,5,,,,,,,,,screenshot-verified,evidence-inbox/items/plier__tooltip__2026-09-18_091651.png,
pm-12-70-long-extended,PM 12-70 (Long | Extended),weapon,,,,,,,,,,,,,,
pm-12-70-long,PM 12-70 (Long),weapon,,,,,,,,,,,,,,
pm-12-70-short-extended,PM 12-70 (Short | Extended),weapon,,,,,,,,,,,,,,
pm-12-70-short,PM 12-70 (Short),weapon;vendor-item,,,,,,,,,,,,screenshot-verified,evidence-inbox/weapons/pm-12-70-short__stats__2026-09-19_090151.png,Verification synchronized from canonical Shotguns record
pm-flashlight-forestock,PM Flashlight Forestock,vendor-item,2500,1,,FALSE,,,,,,,,screenshot-verified,evidence-inbox/attachments/pm-flashlight-forestock__tooltip__2026-09-17_201656.png,
pm-full-polymer-stock,PM Full Polymer Stock,vendor-item,1250,1,,,,,,,,,,screenshot-verified,evidence-inbox/attachments/stocks/pm-full-polymer-stock__tooltip__2026-09-17_200954.png,Direct in-game attachment tooltip screenshot.
pm-muzzle-brake,PM Muzzle Brake,vendor-item,120,1,,,,,,,,,,screenshot-verified,evidence-inbox/attachments/muzzle/pm-muzzle-brake__tooltip__2026-09-17_195324.png,Direct in-game attachment tooltip screenshot.
pm-nikolay,PM Nikolay,weapon;vendor-item,,,,,,,,,,,,screenshot-verified,images/weapons/PM Nikolay.png,Verification synchronized from canonical Pistols record
pm-nikolay-pb,PM Nikolay PB,weapon,,,,,,,,,,,,screenshot-verified,images/weapons/PM Nikolay PB.png,Verification synchronized from canonical Pistols record
pm-polymer-beavertail-grip,PM Polymer Beavertail Grip,vendor-item,1250,1,,FALSE,,,,,,,,screenshot-verified,evidence-inbox/attachments/pm-polymer-beavertail-grip__tooltip__2026-09-17_201959.png,
pm-polymer-stock,PM Polymer Stock,vendor-item,150,1,,,,,,,,,,screenshot-verified,evidence-inbox/attachments/stocks/pm-polymer-stock__tooltip__2026-09-17_201004.png,Direct in-game attachment tooltip screenshot.
pm-railed-forestock,PM Railed Forestock,vendor-item,2500,2,,FALSE,,,,,,,,screenshot-verified,evidence-inbox/attachments/pm-railed-forestock__tooltip__2026-09-17_201702.png,
pm-silencer,PM Silencer,vendor-item,,,,,,,,,,,,,,
pm-small-compensator,PM Small Compensator,vendor-item,,,,,,,,,,,,,,
polymer-pistol-grip-module,Polymer Pistol Grip Module,vendor-item,2500,1,,FALSE,,,,,,,,screenshot-verified,evidence-inbox/attachments/polymer-pistol-grip-module__tooltip__2026-09-17_201853.png,
pp-pristine-mag,PP Pristine Mag,vendor-item,2500,2,,,,,,,,,,screenshot-verified,evidence-inbox/attachments/magazines/pp-pristine-mag__tooltip__2026-09-17_200626.png,Direct in-game attachment tooltip screenshot.
rabbit-meat,Rabbit Meat,vendor-item,,,,,,,,,,,,,,
radish,Radish,vendor-item,,,,,,,,,,,,,,
rat-meat,Rat Meat,vendor-item,,,,,,,,,,,,,,
red-dot-sight,Red Dot Sight,vendor-item,,,,,,,,,,,,,,
refurbished-kask,Refurbished Kask,armour,,,,,,,,,,,,,,
reinforced-leather-pants,Reinforced Leather Pants,armour,,,,,,,,,,,,,,
revolutionary-kepka,Revolutionary Kepka,armour,,,,,,,,,,,,,,
rifle-ap-ammo,Rifle AP Ammo,ammunition;vendor-item,400,,,,,,,,,,,screenshot-verified,evidence-inbox/ammo/rifle-ap__stats__2026-09-13_141731.png,Verification synchronized from canonical database record
rifle-collapsible-stock-module,Rifle Collapsible Stock Module,vendor-item,2500,2,,,,,,,,,,screenshot-verified,evidence-inbox/attachments/stocks/rifle-collapsible-stock-module__tooltip__2026-09-17_201043.png,Direct in-game attachment tooltip screenshot.
rifle-fmj-ammo,Rifle FMJ Ammo,ammunition;vendor-item,120,,,,,,,,,,,screenshot-verified,evidence-inbox/ammo/rifle-fmj-ammo__stats__2026-09-19_221953.png,Verification synchronized from canonical database record
roit-vest,Riot Vest,armour,86000,,,,,,,,,,,screenshot-verified,evidence-inbox/armour/riot-vest__stats-100-durability__2026-09-20_084312.png,Identity and armour record supported by direct in-game screenshot at 100% durability; detailed resistance stats are canonical in data/armour.json.
rubber-scrap,Rubber Scrap,vendor-item;junk-item,100,1,40,,,,,,,,,screenshot-verified,evidence-inbox/items/rubber-scrap__tooltip__2026-09-18_091732.png,
ruined-beret,Ruined Beret,armour,,,,,,,,,,,,,,
russet-potato,Russet Potato,vendor-item,,,,,,,,,,,,,,
scavenger-armor-repair-kit,Scavenger Armor Repair Kit,crafting-resource;crafted-item,,,,,,,,,,,,screenshot-verified,evidence-inbox/crafting/armour/scavenger-armor-repair-kit__recipe__2026-09-18_205442.png,Verification synchronized from canonical database record
scrap-gun-repair-kit,Scrap Gun Repair Kit,crafting-resource;crafted-item;vendor-item,,,,,,,,,,,,screenshot-verified,evidence-inbox/crafting/weapon/scrap-gun-repair-kit__recipe__2026-09-18_205338.png,Verification synchronized from canonical database record
scrapyard-armor,Scrapyard Armor,armour,,,,,,,,,,,,,,
scrapyard-pants,Scrapyard Pants,armour;vendor-item,,,,,,,,,,,,,,
screwdriver,Screwdriver,crafting-resource;vendor-item,2000,1,4,,,,,,,,,screenshot-verified,evidence-inbox/items/screwdriver__tooltip__2026-09-18_091645.png,
screws,Screws,vendor-item;junk-item,100,1,10,,,,,,,,,screenshot-verified,evidence-inbox/items/screws__tooltip__2026-09-18_091739.png,
security-helmet,Security Helmet,armour,89000,,,,,,,,,,,screenshot-verified,evidence-inbox/armour/security-helmet__stats-100-durability__2026-09-18_131628.png,Verification synchronized from canonical Helmets record
sewing-kit,Sewing Kit,crafting-resource;crafted-item,,,,,,,,,,,,screenshot-verified,evidence-inbox/crafting/armour/sewing-kit__recipe__2026-09-18_205431.png,Verification synchronized from canonical database record
short-tapered-vertical-foregrip,Short Tapered Vertical Foregrip,vendor-item,1250,1,,FALSE,,,,,,,,screenshot-verified,evidence-inbox/attachments/short-tapered-vertical-foregrip__tooltip__2026-09-17_201915.png,
short-vertical-foregrip,Short Vertical Foregrip,vendor-item,1250,1,,FALSE,,,,,,,,screenshot-verified,evidence-inbox/attachments/short-vertical-foregrip__tooltip__2026-09-17_201936.png,
shotgun-ap-ammo,Shotgun AP Ammo,ammunition;vendor-item,400,,,,,,,,,,,screenshot-verified,evidence-inbox/ammo/shotgun-ap__stats__2026-09-13_141705.png,Verification synchronized from canonical database record
shotgun-buckshot-ammo,Shotgun Buckshot Ammo,ammunition;vendor-item,60,1,,,,,,,,,,screenshot-verified,evidence-inbox/ammo/shotgun-buckshot-ammo__stats__2026-09-18_084734.png,Verification synchronized from canonical database record
sidemounted-4x-scope,Sidemounted 4x Scope,vendor-item,,,,,,,,,,,,,,
skull-mask,Skull Mask,armour,5000,,,,,,,,,,evidence-inbox/armour/skull-mask__stats-100-durability__2026-09-20.png,screenshot-verified,evidence-inbox/armour/skull-mask__stats-100-durability__2026-09-20.png,Verification synchronized from canonical Armour record
smg-railed-dust-cover,SMG Railed Dust Cover,vendor-item,2500,2,,,,,,,,,,screenshot-verified,evidence-inbox/attachments/dust-covers/smg-railed-dust-cover__tooltip__2026-09-17_202052.png,Direct in-game attachment tooltip screenshot.
sniper-4x-scope,Sniper 4x Scope,vendor-item,,,,,,,,,,,,,,
splint,Splint,vendor-item,,,,,,,,,,,,,,
stimpack,Stimpack,crafted-item;vendor-item,,,,,,,,,,,,screenshot-verified,evidence-inbox/crafting/medical/stimpack__recipe__2026-09-18_205108.png,Verification synchronized from canonical database record
stimpack-blueprint,Stimpack Blueprint,vendor-item,,,,,,,,,,,,,,
stronghold-vest,Stronghold Vest,armour,65000,,,,,,,,,,evidence-inbox/armour/stronghold-vest__stats-100-durability__2026-09-20.png,screenshot-verified,evidence-inbox/armour/stronghold-vest__stats-100-durability__2026-09-20.png,Verification synchronized from canonical Armour record
svarsh-drum-mag,Svarsh Drum Mag,vendor-item,4000,2,,,,,,,,,,screenshot-verified,evidence-inbox/attachments/magazines/svarsh-drum-mag__tooltip__2026-09-17_200131.png,Direct in-game attachment tooltip screenshot.
svarsh-miracle-long,Svarsh Miracle (Long),weapon,,,,,,,,,,,,screenshot-verified,images/weapons/Svarsh Miracle (Long).png,Verification synchronized from canonical Shotguns record
svarsh-miracle-short,Svarsh Miracle (Short),weapon;vendor-item,,,,,,,,,,,,screenshot-verified,images/weapons/Svarsh Miracle (Short).png,Verification synchronized from canonical Shotguns record
svobodnik-m4-long,Svobodnik M4 (Long),weapon,,,,,,,,,,,,screenshot-verified,images/weapons/Svobodnik M4 (Long).png,Verification synchronized from canonical Rifles record
tapered-vertical-foregrip,Tapered Vertical Foregrip,vendor-item,2500,2,,FALSE,,,,,,,,screenshot-verified,evidence-inbox/attachments/tapered-vertical-foregrip__tooltip__2026-09-17_201907.png,
tattered-armor-repair-kit,Tattered Armor Repair Kit,crafting-resource;crafted-item;vendor-item,,,,,,,,,,,,screenshot-verified,evidence-inbox/crafting/armour/tattered-armor-repair-kit__recipe__2026-09-18_205436.png,Verification synchronized from canonical database record
tc-handguard,TC Handguard,vendor-item,750,1,,FALSE,,,,,,,,screenshot-verified,evidence-inbox/attachments/tc-handguard__tooltip__2026-09-17_201715.png,
tc-polymer-large-mag-black,TC Polymer Large Mag (Black),vendor-item,2500,2,,,,,,,,,,screenshot-verified,evidence-inbox/attachments/magazines/tc-polymer-large-mag-black__tooltip__2026-09-17_200354.png,Direct in-game attachment tooltip screenshot.
tc-polymer-mag-black,TC Polymer Mag (Black),vendor-item,1250,1,,,,,,,,,,screenshot-verified,evidence-inbox/attachments/magazines/tc-polymer-mag-black__tooltip__2026-09-17_200400.png,Direct in-game attachment tooltip screenshot.
tc-railed-dust-cover,TC Railed Dust Cover,vendor-item,2500,2,,FALSE,,,,,,,,screenshot-verified,evidence-inbox/attachments/tc-railed-dust-cover__tooltip__2026-09-17_202033.png,
tc-railed-handguard,TC Railed Handguard,vendor-item,2500,2,,FALSE,,,,,,,,screenshot-verified,evidence-inbox/attachments/tc-railed-handguard__tooltip__2026-09-17_201708.png,
tc-skeleton-stock,TC Skeleton Stock,vendor-item,2500,2,,,,,,,,,,screenshot-verified,evidence-inbox/attachments/stocks/tc-skeleton-stock__tooltip__2026-09-17_200659.png,Direct in-game attachment tooltip screenshot.
tc-wood-stock,TC Wood Stock,vendor-item,,2,,,,,,,,,,screenshot-verified,evidence-inbox/attachments/stocks/tc-wood-stock__tooltip__2026-09-17_200706.png,Direct in-game attachment tooltip screenshot.
thread-cutter,Thread Cutter,weapon,80000,,,,,,,,,,,screenshot-verified,evidence-inbox/weapons/thread-cutter__stats__2026-09-19_084742.png,Verification synchronized from canonical Rifles record
thread-cutter-short,Thread Cutter (Short),weapon,,,,,,,,,,,,screenshot-verified,images/weapons/Thread Cutter (Short).png,Verification synchronized from canonical Rifles record
vegetable-soup,Vegetable Soup,vendor-item,,,,,,,,,,,,,,
vertical-foregrip,Vertical Foregrip,vendor-item,2500,2,,FALSE,,,,,,,,screenshot-verified,evidence-inbox/attachments/vertical-foregrip__tooltip__2026-09-17_201923.png,
vintage-red-dot-sight,Vintage Red Dot Sight,vendor-item,,,,,,,,,,,,,,
vozhd-beret,Vozhd Beret,armour,,,,,,,,,,,,,,
wg-40,WG-40,junk-item;vendor-item,250,1,4,,,,,,,,evidence-inbox/items/wg-40__icon__2026-09-21.png,screenshot-verified,evidence-inbox/items/wg-40__tooltip__2026-09-21.png,
big-filter,Big Filter,junk-item;vendor-item,3000,,5,TRUE,,,,,,Direct tooltip and matching icon supplied; current no-use junk classification.,evidence-inbox/items/big-filter__icon__2026-09-21.png,screenshot-verified,evidence-inbox/items/big-filter__tooltip__2026-09-21.png,"Direct in-game tooltip supplied for item identity, description, and displayed value."
small-filter,Small Filter,junk-item;vendor-item,500,,5,TRUE,,,,,,Direct tooltip and matching icon supplied; current no-use junk classification.,evidence-inbox/items/small-filter__icon__2026-09-21.png,screenshot-verified,evidence-inbox/items/small-filter__tooltip__2026-09-21.png,"Direct in-game tooltip supplied for item identity, description, and displayed value."
electric-wires,Electric Wires,junk-item;vendor-item,500,,5,TRUE,,,,,,Direct tooltip and matching icon supplied; current no-use junk classification.,evidence-inbox/items/electric-wires__icon__2026-09-21.png,screenshot-verified,evidence-inbox/items/electric-wires__tooltip__2026-09-21.png,"Direct in-game tooltip supplied for item identity, description, and displayed value."
tactical-knife,Tactical Knife,junk-item;vendor-item,10000,,,FALSE,,,,,,Direct tooltip and matching icon supplied; current no-use junk classification.,evidence-inbox/items/tactical-knife__icon__2026-09-21.png,screenshot-verified,evidence-inbox/items/tactical-knife__tooltip__2026-09-21.png,"Direct in-game tooltip supplied for item identity, description, and displayed value."
chemical-container,Chemical Container,junk-item;vendor-item,1000,,5,TRUE,,,,,,Direct tooltip and matching icon supplied; current no-use junk classification.,evidence-inbox/items/chemical-container__icon__2026-09-21.png,screenshot-verified,evidence-inbox/items/chemical-container__tooltip__2026-09-21.png,"Direct in-game tooltip supplied for item identity, description, and displayed value."
metal-pipe,Metal Pipe,junk-item;vendor-item,500,,10,TRUE,,,,,,Direct tooltip and matching icon supplied; current no-use junk classification.,evidence-inbox/items/metal-pipe__icon__2026-09-21.png,screenshot-verified,evidence-inbox/items/metal-pipe__tooltip__2026-09-21.png,"Direct in-game tooltip supplied for item identity, description, and displayed value."
broken-mk-receiver,Broken MK Receiver,junk-item;vendor-item,500,,5,TRUE,,,,,,Direct tooltip and matching icon supplied; current no-use junk classification.,evidence-inbox/items/broken-mk-receiver__icon__2026-09-21.png,screenshot-verified,evidence-inbox/items/broken-mk-receiver__tooltip__2026-09-21.png,"Direct in-game tooltip supplied for item identity, description, and displayed value."
butcher-knife,Butcher Knife,junk-item;vendor-item,1000,,5,TRUE,,,,,,Direct tooltip and matching icon supplied; current no-use junk classification.,evidence-inbox/items/butcher-knife__icon__2026-09-21.png,screenshot-verified,evidence-inbox/items/butcher-knife__tooltip__2026-09-21.png,"Direct in-game tooltip supplied for item identity, description, and displayed value."
toilet-paper,Toilet Paper,junk-item;vendor-item,500,,5,TRUE,,,,,,Direct tooltip and matching icon supplied; current no-use junk classification.,evidence-inbox/items/toilet-paper__icon__2026-09-21.png,screenshot-verified,evidence-inbox/items/toilet-paper__tooltip__2026-09-21.png,"Direct in-game tooltip supplied for item identity, description, and displayed value."
winter-pants,Winter Pants,armour,,,,,,,,,,,,,,
wooden-pistol-grip-module,Wooden Pistol Grip Module,vendor-item,,,,,,,,,,,,,,
worm-meat,Worm Meat,vendor-item,,,,,,,,,,,,,,
zavod-24-short,Zavod 24 (Short),vendor-item,,,,,,,,,,,,,,
zavod-34,Zavod 34,weapon,,,,,,,,,,,,screenshot-verified,images/weapons/Zavod 34.png,Verification synchronized from canonical Shotguns record
zavod-34-short,Zavod 34 (Short),weapon,,,,,,,,,,,,screenshot-verified,images/weapons/Zavod 34 (Short) - durability 23.png,Verification synchronized from canonical Shotguns record
zavod-polymer-full-stock,Zavod Polymer Full Stock,vendor-item,1250,1,,,,,,,,,,screenshot-verified,evidence-inbox/attachments/stocks/zavod-polymer-full-stock__tooltip__2026-09-17_200652.png,Direct in-game attachment tooltip screenshot.
zavod-polymer-handguard,Zavod Polymer Handguard,vendor-item,750,1,,FALSE,,,,,,,,screenshot-verified,evidence-inbox/attachments/zavod-polymer-handguard__tooltip__2026-09-17_201721.png,
medicinal-herb,Medicinal Herb,crafting-resource,50,1,10,,5,,,,3,,evidence-inbox/items/medicinal-herb__icon__2026-09-21.png,screenshot-verified,evidence-inbox/items/medicinal-herb__tooltip__2026-09-21.png,Direct in-game tooltip screenshot.
acid-gland,Acid Gland,vendor-item,150,,10,,,,,,,,evidence-inbox/items/acid-gland__icon__2026-09-21.png,screenshot-verified,evidence-inbox/items/acid-gland__tooltip__2026-09-21.png,Direct in-game tooltip and icon screenshot.
berry-puree,Berry Puree,vendor-item,5000,1,5,,,,,-25,,,evidence-inbox/items/berry-puree__icon__2026-09-21.png,screenshot-verified,evidence-inbox/items/berry-puree__tooltip__2026-09-21.png,Direct in-game tooltip and icon screenshot.
butter,Butter,vendor-item,2100,1,5,,,,,-15,,,evidence-inbox/items/butter__icon__2026-09-21.png,screenshot-verified,evidence-inbox/items/butter__tooltip__2026-09-21.png,Direct in-game tooltip and icon screenshot.
fish-soup,Fish Soup,vendor-item,7500,1,5,,,,,-30,-15,,evidence-inbox/items/fish-soup__icon__2026-09-21.png,screenshot-verified,evidence-inbox/items/fish-soup__tooltip__2026-09-21.png,Direct in-game tooltip and icon screenshot.
undead-arm,Undead Arm,vendor-item,300,,10,,,,,,,,evidence-inbox/items/undead-arm__icon__2026-09-21.png,screenshot-verified,evidence-inbox/items/undead-arm__tooltip__2026-09-21.png,Direct in-game tooltip and icon screenshot.
whole-roasted-fish,Whole Roasted Fish,vendor-item,4000,1,4,,,,5,-30,,,evidence-inbox/items/whole-roasted-fish__icon__2026-09-21.png,screenshot-verified,evidence-inbox/items/whole-roasted-fish__tooltip__2026-09-21.png,Direct in-game tooltip and icon screenshot.
pre-mist-gold-wristwatch,Pre-Mist Gold Wristwatch,junk-item;vendor-item,10000,,,FALSE,,,,,,Candidate junk item from supplied tooltip. Icon asset is not yet present in the repository.,evidence-inbox/items/pre-mist-gold-wristwatch__icon__2026-09-21.png,screenshot-verified,evidence-inbox/items/pre-mist-gold-wristwatch__tooltip__2026-09-21.png,"Direct in-game tooltip supplied for item identity, description, and displayed value."
cassette-tape,Cassette Tape,junk-item;vendor-item,1500,,5,TRUE,,,,,,Candidate junk item from supplied tooltip. Icon asset is not yet present in the repository.,evidence-inbox/items/cassette-tape__icon__2026-09-21.png,screenshot-verified,evidence-inbox/items/cassette-tape__tooltip__2026-09-21.png,"Direct in-game tooltip supplied for item identity, description, and displayed value."
square-battery,Square Battery,junk-item;vendor-item,1500,,5,TRUE,,,,,,Candidate junk item from supplied tooltip.,evidence-inbox/items/square-battery__icon__2026-09-21.png,screenshot-verified,evidence-inbox/items/square-battery__tooltip__2026-09-21.png,"Direct in-game tooltip supplied for item identity, description, and displayed value."
floppy-disk,Floppy Disk,junk-item;vendor-item,3000,,5,TRUE,,,,,,Candidate junk item from supplied tooltip. Icon asset is not yet present in the repository.,evidence-inbox/items/floppy-disk__icon__2026-09-21.png,screenshot-verified,evidence-inbox/items/floppy-disk__tooltip__2026-09-21.png,"Direct in-game tooltip supplied for item identity, description, and displayed value."
light-bulb,Light Bulb,junk-item;vendor-item,750,,5,TRUE,,,,,,Candidate junk item from supplied tooltip. Icon asset is not yet present in the repository.,evidence-inbox/items/light-bulb__icon__2026-09-21.png,screenshot-verified,evidence-inbox/items/light-bulb__tooltip__2026-09-21.png,"Direct in-game tooltip supplied for item identity, description, and displayed value."
t-plug,T Plug,junk-item;vendor-item,500,,10,TRUE,,,,,,Candidate junk item from supplied tooltip. Icon asset is not yet present in the repository.,evidence-inbox/items/t-plug__icon__2026-09-21.png,screenshot-verified,evidence-inbox/items/t-plug__tooltip__2026-09-21.png,"Direct in-game tooltip supplied for item identity, description, and displayed value."
camera,Camera,junk-item;vendor-item,10000,,,FALSE,,,,,,Candidate junk item from supplied tooltip. Icon asset is not yet present in the repository.,evidence-inbox/items/camera__icon__2026-09-21.png,screenshot-verified,evidence-inbox/items/camera__tooltip__2026-09-21.png,"Direct in-game tooltip supplied for item identity, description, and displayed value."
old-tactical-pants,Old Tactical Pants,armour,35000,,,,,,,,,,,screenshot-verified,evidence-inbox/armour/old-tactical-pants__stats-100-durability__2026-09-20.png,Direct in-game tooltip at 100% durability. Displayed approximate value recorded as price; vendor sale price and unlock rank are not shown.
mutated-stick,Mutated Stick,junk-item,50,0,10,TRUE,,,,,,,evidence-inbox/admin/mutated-stick-374a7376-19b1-4721-a191-60ec3581e3e6.png,screenshot-verified,evidence-inbox/admin/mutated-stick-f4029b94-4b36-456c-8f23-2fe714b6433d.png,
salt,Salt,vendor-item,3000,,5,TRUE,,,,-2,20,,evidence-inbox/items/salt-icon__2026-09-21_155515.png,screenshot-verified,evidence-inbox/items/historical/salt__tooltip__2026-09-13_144113.png,
bread,Bread,vendor-item,480,,5,TRUE,,,,-12,1,,evidence-inbox/items/historical/bread__tooltip__2026-09-13_141058.png,pending-review,,
